arxiv_id,title,pdf_source,file
2606.31779,"Bridging the Gap Between Latent and Explicit Reasoning with Looped Transformers",https://arxiv.org/pdf/2606.31779,pdfs/2606.31779_LOTUS_Bridging_Latent_and_Explicit_Reasoning.pdf
2604.07822,"Loop, Think, & Generalize: Implicit Reasoning in Recurrent-Depth Transformers",https://arxiv.org/pdf/2604.07822,pdfs/2604.07822_Loop_Think_and_Generalize.pdf
2605.09165,"Sparse Layers are Critical to Scaling Looped Language Models",https://arxiv.org/pdf/2605.09165,pdfs/2605.09165_Sparse_Layers_Critical_to_Scaling_Looped_LMs.pdf
2605.07721,"Memory-Efficient Looped Transformer: Decoupling Compute from Memory in Looped Language Models",https://arxiv.org/pdf/2605.07721,pdfs/2605.07721_MELT_Memory_Efficient_Looped_Transformer.pdf
2605.26733,"Stabilizing Recurrent Dynamics for Test-Time Scalable Latent Reasoning in Looped Language Models",https://arxiv.org/pdf/2605.26733,pdfs/2605.26733_STARS_Stabilizing_Recurrent_Dynamics.pdf
2605.26797,"Latent Recurrent Transformer: Architecture Exploration, Training Strategies, and Scaling Behavior",https://arxiv.org/pdf/2605.26797,pdfs/2605.26797_Latent_Recurrent_Transformer.pdf
2604.21215,"The Recurrent Transformer: Greater Effective Depth and Efficient Decoding",https://arxiv.org/pdf/2604.21215,pdfs/2604.21215_The_Recurrent_Transformer.pdf
2602.11451,"LoopFormer: Elastic-Depth Looped Transformers for Latent Reasoning via Shortcut Modulation",https://arxiv.org/pdf/2602.11451,pdfs/2602.11451_LoopFormer_Elastic_Depth_Looped_Transformers.pdf
2602.11698,"SpiralFormer: Looped Transformers Can Learn Hierarchical Dependencies via Multi-Resolution Recursion",https://arxiv.org/pdf/2602.11698,pdfs/2602.11698_SpiralFormer_Multi_Resolution_Recursion.pdf
2604.11791,"A Mechanistic Analysis of Looped Reasoning Language Models",https://arxiv.org/pdf/2604.11791,pdfs/2604.11791_Mechanistic_Analysis_of_Looped_Reasoning_LMs.pdf
2606.24898,"Dense Supervision Is Not Enough: The Readout Blind Spot in Looped Language Models",https://arxiv.org/pdf/2606.24898,pdfs/2606.24898_Dense_Supervision_Is_Not_Enough.pdf
2601.10242,"Loop as a Bridge: Can Looped Transformers Truly Link Representation Space and Natural Language Outputs?",https://arxiv.org/pdf/2601.10242,pdfs/2601.10242_Loop_as_a_Bridge.pdf
2602.10520,"Prioritize the Process, Not Just the Outcome: Rewarding Latent Thought Trajectories Improves Reasoning in Looped Language Models",https://arxiv.org/pdf/2602.10520,pdfs/2602.10520_RLTT_Rewarding_Latent_Thought_Trajectories.pdf
2606.01495,"CART: Context-Anchored Recurrent Transformer -- A Parameter-Efficient Architecture with Learned Stability",https://arxiv.org/pdf/2606.01495,pdfs/2606.01495_CART_Context_Anchored_Recurrent_Transformer.pdf
2602.07845,"Recurrent-Depth VLA: Implicit Test-Time Compute Scaling of Vision-Language-Action Models via Latent Iterative Reasoning",https://arxiv.org/pdf/2602.07845,pdfs/2602.07845_RD_VLA_Recurrent_Depth_VLA.pdf
